family,subfamily,tribe,subtribe,genus,species,attraction_strategies
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_fragrans,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_lawrenceana,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_mayeriana,0
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_nitida,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_pulverula,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_rigida,0
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_rochussenii,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_viscosa,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Dendrochilum,Dendrochilum_longibracteanum,0
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Dendrochilum,Dendrochilum_longifolium,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Otochilus,Otochilus_albus,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Thunia,Thunia_alba,0
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Bipinnula,Bipinnula_penicillata,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_alpina,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_bletioides,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_crispa,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_gavilu,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_lamellata,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_membranacea,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_virescens,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Gavilea,Gavilea_venosa,1
Orchidaceae,Orchidoideae,Codonorchideae,Codonorchinae,Codonorchis,Codonorchis_canisoi,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_alismaefolia,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_argento-striata,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_aristulifera,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_discolor,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_izuinsularis,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_reflexa,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_striata,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_sylvatica,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_tricarinata,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_triplicata,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_yaoshanensis,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_delavayi,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_tancarvilliae,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Pleione,Pleione_formosana,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Plocoglottis,Plocoglottis_foetida,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Plocoglottis,Plocoglottis_gigantea,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Plocoglottis,Plocoglottis_porphyrophylla,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Spathoglottis,Spathoglottis_plicata,1
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Earina,Earina_aestivalis,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Earina,Earina_autumnalis,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Earina,Earina_mucronata,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_campanulata,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_catenulata,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_corallicola,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_patula,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_purpurea,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Calypso,Calypso_bulbosa_var._bulbosa,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Calypso,Calypso_bulbosa_var._occidentalis,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Calypso,Calypso_bullbosa_var._americana,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Changnienia,Changnienia_amoena,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_maculata,0
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_striata,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_trifida,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Cremastra,Cremastra_appendiculata,0
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Govenia,Govenia_fasciata,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Govenia,Govenia_gardneri,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Govenia,Govenia_utriculata,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Tipularia,Tipularia_discolor,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Arpophyllum,Arpophyllum_giganteum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Artorima,Artorima_erubescens,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_dorotheae,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_lindleyana,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_scandens,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_skinneri,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_cebolleta,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_cucullata,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_flagellaris,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_nodosa,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Broughtonia,Broughtonia_cubensis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Broughtonia,Broughtonia_lindenii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Broughtonia,Broughtonia_sanguinea,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_coccinea,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_eldorado,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_elongata,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_intermedia,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_loddigesii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_luteola,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_maxima,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_mendellii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_milleri,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_pfisteri,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_purpurata,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_sincorana,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_tenuis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_tigrina,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_wallisii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_warscewiczii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Caularthron,Caularthron_bicornutum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Caularthron,Caularthron_bilamellatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Constantia,Constantia_cipoensis,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Domingoa,Domingoa_gemma,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Domingoa,Domingoa_purpurea,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_belizensis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_cordigera,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_nematocaulon,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_phoenicea,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_tampense,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_mapuerae,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_oncidioides,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_ackermanii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_acuminatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_alfaroi,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_amphistomum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_anceps,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_armeniacum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_avicula,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_barbeyanum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_calanthum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_campestre,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cardiochilum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_centropetalum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_chlorocorymbos,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_ciliare,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cinnabarinum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cirrhochilum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cnemidophorum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cochlidium,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cocoense,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_cristatum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_densiflorum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_denticulatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_difforme,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_diffusum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_exasperatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_falcatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_falcisepalum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_fimbriatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_flammeum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_flexuosum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_floridense,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_fulgens,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_goniorhachis,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_horichii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_hunterianum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_ibaguense,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_insulanum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_jimenezii,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_lacustre,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_laterale,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_latilabre,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_leucochilum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_macrocarpum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_madsenii,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_medusae,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_miserrimum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_nocturnum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_odontochilum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_orchidiflorum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_paniculatum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_parkinsonianum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_piliferum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_polyanthum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_pseudoepidendrum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_puniceoluteum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_radicans,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_raniferum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_rhopalostele,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_rigidum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_robustum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_schlechterianum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_secundum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_smaragdinum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_steyermarkii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_tridactylum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_vesicatum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Epidendrum,Epidendrum_xanthinum,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Guarianthe,Guarianthe_skinneri,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Jacquiniella,Jacquiniella_globosa,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_anceps,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_autumnalis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_lyonsii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_marginata,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_moyobambae,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_rubescens,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_speciosa,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_splendida,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_superbiens,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Laelia,Laelia_tibicinis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Meiracyllium,Meiracyllium_gemma,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Meiracyllium,Meiracyllium_triansutum,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Microepidendrum,Microepidendrum_subulatifolium,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Myrmecophila,Myrmecophila_christinae,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Myrmecophila,Myrmecophila_thomsoniana,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Nidema,Nidema_boothii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Prosthechea,Prosthechea_baculus,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Prosthechea,Prosthechea_cochleata,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Prosthechea,Prosthechea_crassilabia,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Prosthechea,Prosthechea_pygmaea,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Prosthechea,Prosthechea_vespa,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Pseudolaelia,Pseudolaelia_corcovadensis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Psychilis,Psychilis_kraenzlinii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Psychilis,Psychilis_krugii,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Psychilis,Psychilis_macconnelliae,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Psychilis,Psychilis_monensis,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Rhyncholaelia,Rhyncholaelia_digbyana,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Rhyncholaelia,Rhyncholaelia_glauca,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Scaphyglottis,Scaphyglottis_bidentata,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Scaphyglottis,Scaphyglottis_imbricata,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Scaphyglottis,Scaphyglottis_micrantha,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Tetramicra,Tetramicra_elegans,1
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_aberrans,1
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_adamantinensis,0
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_aphthosa,1
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_aveniformes,0
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_fabiobarrosii,1
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_hamosa,0
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_hygrophila,0
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_johannensis,1
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_limae,0
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_modestissima,1
Orchidaceae,Epidendroideae,Epidendreae,Pleurothallidinae,Acianthera,Acianthera_ochreata,0
