family,subfamily,tribe,subtribe,genus,species,terrestrial,epiphytic,tropic,subtropic,temperate,pollination_vectors
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_smithii,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_subtropicum,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_tibeticum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Cypripedium,Cypripedium_yunnanense,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_armeniacum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_barbigerum,1,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_bellatulum,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_callosum,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_dianthum,0,0,0,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_hirsutissimum,0,1,0,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_insigne,0,0,0,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_lowii,0,1,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_mastersianum,1,0,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_micranthum,1,0,1,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_parishii,0,1,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_purpuratum,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_rothschildianum,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_spicerianum,1,0,1,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Paphiopedilum,Paphiopedilum_villosum,0,1,1,1,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_besseae,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_boissierianum,1,0,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_caudatum,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_humboldtii,1,0,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_lindenii,1,0,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_longifolium,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_pearcei,1,0,1,0,0,1
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Phragmipedium,Phragmipedium_reticulatum,1,0,1,0,0,0
Orchidaceae,Cypripedioideae,Cypripedioseae,Cypripedionae,Selenipedium,Selenipedium_aequinoctiale,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Arethusa,Arethusa_bulbosa,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Arethuseae,Arethusinae,Arundina,Arundina_graminifolia,1,0,1,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Bletilla,Bletilla_striata,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_corymbosa,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_fimbriata,0,1,1,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_flaccida,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_fragrans,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_lawrenceana,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_mayeriana,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_nitida,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_pulverula,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_rigida,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_rochussenii,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Coelogyne,Coelogyne_viscosa,0,1,1,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Dendrochilum,Dendrochilum_longibracteanum,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Dendrochilum,Dendrochilum_longifolium,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Entomophobia,Entomophobia_kinabaluensis,1,1,1,0,0,0
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Otochilus,Otochilus_albus,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Thunia,Thunia_alba,1,1,0,1,0,1
Orchidaceae,Epidendroideae,Arethuseae,Coelogyninae,Bipinnula,Bipinnula_fimbriata,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Bipinnula,Bipinnula_penicillata,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_alpina,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_bletioides,1,0,0,1,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_chrysantha,1,0,0,1,1,0
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_crispa,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_galeata,1,0,0,1,1,0
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_gavilu,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_lamellata,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_membranacea,1,0,0,1,0,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Chloraea,Chloraea_virescens,1,0,0,0,1,1
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Gavilea,Gavilea_araucana,1,0,0,1,1,0
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Gavilea,Gavilea_lutea,1,0,0,0,1,0
Orchidaceae,Orchidoideae,Chloraeeae,Chloraeinae,Gavilea,Gavilea_venosa,1,0,0,1,1,0
Orchidaceae,Orchidoideae,Codonorchideae,Codonorchinae,Codonorchis,Codonorchis_canisoi,1,0,0,1,0,1
Orchidaceae,Orchidoideae,Codonorchideae,Codonorchinae,Codonorchis,Codonorchis_lessonii,1,0,0,0,1,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_alismaefolia,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_argento-striata,1,0,0,0,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_aristulifera,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_aureifolia,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_candida,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_discolor,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_izuinsularis,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_lyroglossa,1,0,0,1,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_papuana,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_reflexa,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_striata,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_sylvatica,1,1,0,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_tricarinata,1,0,0,1,1,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_triplicata,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_veratrifolia,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_vestita,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Calanthe,Calanthe_yaoshanensis,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_amboinensis,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_australis,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_delavayi,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_grandiflorus,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_longibracteaus,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_pictus,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_pulchelus,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_tancarvilliae,1,0,1,1,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_tetragonus,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Phaius,Phaius_wallichii,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Pleione,Pleione_formosana,1,1,0,1,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Spathoglottis,Spathoglottis_microchilina,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Spathoglottis,Spathoglottis_paulinae,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Spathoglottis,Spathoglottis_plicata,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Collabieae,Collabinae,Tainia,Tainia_penangiana,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_compressicaule,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_crassicaule,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_denbergii,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_dischorense,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_graminifolium,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_montanum,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_pelorioides,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_stenophyllum,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_superpositum,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Agrostophyllum,Agrostophyllum_verruciferum,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Earina,Earina_aestivalis,0,1,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Earina,Earina_autumnalis,0,1,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Agrostophyllinae,Earina,Earina_mucronata,0,1,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_campanulata,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_catenulata,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_corallicola,1,0,1,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_macristhmochila,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_nitida,1,0,0,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_patula,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_purpurea,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_pupurata,1,0,1,1,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_revoluta,1,0,0,1,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_spicata,1,0,0,1,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Bletia,Bletia_urbana,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Chysis,Chysis_addita,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Bletiinae,Chysis,Chysis_laevis,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Aplectrum,Aplectrum_hyemale,1,0,0,0,1,0
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Calypso,Calypso_bulbosa_var._bulbosa,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Calypso,Calypso_bulbosa_var._occidentalis,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Calypso,Calypso_bullbosa_var._americana,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Changnienia,Changnienia_amoena,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_ekmanii,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_maculata,1,0,0,1,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_odontorhiza_1,1,0,0,0,1,0
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_striata,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Corallorhiza,Corallorhiza_trifida,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Cremastra,Cremastra_appendiculata,1,0,0,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Govenia,Govenia_fasciata,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Govenia,Govenia_gardneri,1,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Govenia,Govenia_utriculata,1,0,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Oreorchis,Oreorchis_patens,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Calypsoinae,Tipularia,Tipularia_discolor,1,0,0,0,1,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Arpophyllum,Arpophyllum_giganteum,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Artorima,Artorima_erubescens,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_dorotheae,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_lindleyana,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_obovata,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_scandens,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Barkeria,Barkeria_skinneri,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_cebolleta,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_cucullata,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_flagellaris,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Brassavola,Brassavola_nodosa,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Broughtonia,Broughtonia_cubensis,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Broughtonia,Broughtonia_lindenii,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Broughtonia,Broughtonia_sanguinea,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_amethystoglossa,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_bicolor,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_caulescens,0,0,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_cinnabarina,0,0,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_coccinea,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_crispa,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_dormaniana,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_eldorado,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_elongata,0,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_flava,0,0,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_forbesii,0,1,1,1,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_gaskelliana,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_grandis,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_guttata,0,1,1,1,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_harrisoniana,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_hoehnei,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_intermedia,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_labiata,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_loddigesii,0,1,1,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_longipes,0,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_luteola,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_maxima,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_mendellii,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_milleri,0,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_perrinii,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_pfisteri,0,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_pumila,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_purpurata,1,1,0,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_schofieldiana,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_sincorana,0,0,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_tenebrosa,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_tenuis,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_tigrina,0,1,0,1,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_wallisii,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_warneri,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_warscewiczii,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Cattleya,Cattleya_xanthina,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Caularthron,Caularthron_bicornutum,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Caularthron,Caularthron_bilamellatum,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Dimerandra,Dimerandra_emarginata,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Domingoa,Domingoa_gemma,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Domingoa,Domingoa_purpurea,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_belizensis,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_bradfordii,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_cordigera,0,1,1,0,0,1
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_gravida,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_isochila,0,1,1,0,0,0
Orchidaceae,Epidendroideae,Epidendreae,Laeliinae,Encyclia,Encyclia_nematocaulon,0,1,1,0,0,1
